"FirstName","LastName","SessionID","PageNumber","Organization","OrganizerNum","FullName"
"Arved","Bartuska","S24","","King Abdullah University of Science and Technology/RWTH Aachen University","Organizer1","Arved Bartuska"
"André Gustavo","Carlon","S24","","RWTH Aachen University","",""
"Philipp","Guth","S24","","Johann Radon Institute for Computational and Applied Mathematics","",""
"Matteo","Raviola","S24","","École Polytechnique Fédérale de Lausanne","",""
"Raúl","Tempone","S24","","King Abdullah University of Science and Technology/RWTH Aachen University","",""
"Michael","Gnewuch","S25","","University of Osnabrück","Organizer1","Michael Gnewuch"
"Takashi","Goda","S25","","University of Tokyo","Organizer2","Takashi Goda"
"Peter","Kritzer","S25","","Austrian Academy of Sciences","Organizer3","Peter Kritzer"
"Dirk","Nuyens","S25","","KU Leuven","",""
"Art B.","Owen","S25","","Stanford University","",""
"Zexin","Pan","S25","","Austrian Academy of Sciences","",""
"Kosuke","Suzuki","S25","","Yamagata University","",""
"Yifan","Chen","S26","","New York University","",""
"Xiaoou","Cheng","S26","","New York University","Organizer2","Xiaoou Cheng"
"Siddharth","Mitra","S26","","Yale University","",""
"Molei","Tao","S26","","Georgia Institute of Technology","",""
"Jonathan","Weare","S26","","New York University","Organizer3","Jonathan Weare"
"Fuzhong","Zhou","S26","","Columbia University","",""
"Jose","Blanchet","S27","","Stanford University","",""
"Jing","Dong","S27","","Columbia University","",""
"Chang-Han","Rhee","S27","","Northwestern University","",""
"Maksim","Chupin","S28","","King Abdullah University of Science and Technology","",""
"Zhou","Fang","S28","","Chinese Academy of Sciences","",""
"Chiheb Ben","Hammouda","S28","","Utrecht University","Organizer2","Chiheb Ben Hammouda"
"Sophia","Münker","S28","","RWTH Aachen University","",""
"Muruhan","Rathinam","S28","","University of Maryland, Baltimore","",""
"Raul","Tempone","S28","","RWTH Aachen University","Organizer3","Raul Tempone"
"Niklas","Baumgarten","S29","","University of Heidelberg","",""
"Sou-Cheng","Choi","S29","","Illinois Institute of Technology","Organizer1","Sou-Cheng Choi"
"Joseph","Farmer","S29","","University of Notre Dame","",""
"Mike","Giles","S29","","University of Oxford","Organizer3","Mike Giles"
"Johannes","Krotz","S29","","University of Notre Dame","",""
"Pieterjan","Robbe","S29","","Sandia National Laboratories","Organizer2","Pieterjan Robbe"
"Aleksei","Sorokin","S29","","Illinois Institute of Technology","",""
"Arved","Bartuska","S3","","King Abdullah University of Science and Technology/RWTH Aachen University","Organizer1","Arved Bartuska"
"Truong Vinh","Hoang","S3","","RWTH Aachen University","",""
"Vesa","Kaarnioja","S3","","Free University of Berlin","",""
"Sebastian","Krumscheid","S3","","Karlsruhe Institute of Technology","",""
"Raúl","Tempone","S3","","King Abdullah University of Science and Technology/RWTH Aachen University","Organizer3","Raúl Tempone"
"Sou-Cheng","Choi","S4","","Illinois Institute of Technology","Organizer1","Sou-Cheng Choi"
"Mike","Giles","S4","","University of Oxford","",""
"Irina-Beatrice","Haas","S4","","University of Oxford","",""
"Chung Ming","Loi","S4","","Durham University","",""
"Pieterjan","Robbe","S4","","Sandia National Laboratories","",""
"Michael","Gnewuch","S5","","Osnabruck University","",""
"Stefan","Heinrich","S5","","RPTU Kaiserslautern-Landau","Organizer1","Stefan Heinrich"
"Thomas","Muller-Gronbach","S5","","University of Passau","Organizer2","Thomas Muller-Gronbach"
"Leszek","Plaskota","S5","","University of Warsaw","",""
"Kateryna","Pozharska","S5","","Chemnitz University of Technology","",""
"Larisa","Yaroslavtseva","S5","","University of Graz","Organizer3","Larisa Yaroslavtseva"
"Arved","Bartuska","S6","","RWTH Aachen University","",""
"Philipp A.","Guth","S6","","Austrian Academy of Sciences","Organizer1","Philipp A. Guth"
"Tapio","Helin","S6","","LUT University","",""
"Vesa","Kaarnioja","S6","","Free University of Berlin","Organizer2","Vesa Kaarnioja"
"Karina","Koval","S6","","University of Heidelberg","",""
"Johannes","Milz","S6","","Georgia Institute of Technology","",""
"Makram","Chahine","S7","","Massachusetts Institute of Technology","",""
"François","Clément","S7","","University of Washington","",""
"Nathan","Kirk","S7","","Illinois Institute of Technology","",""
"Gregory","Seljak","S7","","University of Montréal","",""
"Jean-Francois","Chassagneux","S8","","ENSAE Paris","",""
"Goncalo","Dos Reis","S8","","University of Edinburgh","",""
"Noufel","Frikha","S8","","Paris 1 Pantheon-Sorbonne University","",""
"Stefan","Heinrich","S8","","RPTU Kaiserslautern-Landau","Organizer1","Stefan Heinrich"
"Thomas","Muller-Gronbach","S8","","University of Passau","Organizer2","Thomas Muller-Gronbach"
"Sotirios","Sabanis","S8","","University of Edinburgh","",""
"Larisa","Yaroslavtseva","S8","","University of Graz","Organizer3","Larisa Yaroslavtseva"
"Ayoub","Belhadji","S9","","Massachusetts Institute of Technology","",""
"Adrien","Corenflos","S9","","University of Warwick","",""
"Florence","Forbes","S9","","Inria","Organizer1","Florence Forbes"
"Xun","Huan","S9","","University of Michigan","",""
"Youssef","Marzouk","S9","","Massachusetts Institute of Technology","Organizer3","Youssef Marzouk"
"Zhihao","Wang","T1-1","","University of Copenhagen","",""
