First or given name(s) of presenter,Last or family name of presenter,Institution of presenter,Talk Title,FirstNameLastNameAbstract.tex file with Talk Title and Abstract,IsSpecialSession,join_key,SessionTime,SessionID,SessionTitle,TalkID
Michaela,Szölgyenyi,University of Klagenfurt,An optimal transport approach to quantifying model uncertainty of SDEs,https://drive.google.com/open?id=1iE5DZVXL_twpH_FHy0JQKO1QfSxCDqVw,0,michaela szölgyenyi,"Wed, Jul 30 09:00–10:00",P5,"Plenary Talk by Michaela Szölgyenyi, U of Klagenfurt, An optimal transport approach to quantifying model uncertainty of SDEs",P5
Christiane,Lemieux,University of Waterloo,Golden ratio nets and sequences,https://drive.google.com/open?id=1DDMecSMcb88eNoqTHI81AR6sAc3W_yHA,0,christiane lemieux,"Mon, Jul 28 14:00–15:00",P2,"Plenary Talk by Christiane Lemieux, U of Waterloo, Golden ratio nets and sequences",P2
Peter,Glynn,Stanford University,Combining Simulation and Linear Algebra: COSIMLA,https://drive.google.com/open?id=1v2VXqmmnrEosPaWqyDMY69rdRgZATIZ4,0,peter glynn,"Tue, Jul 29 09:00–10:00",P3,"Plenary Talk by Peter Glynn, Stanford U, Combining Simulation and Linear Algebra: COSIMLA",P3
Roshan,Joseph,Georgia Institute of Technology,Sensitivity and Screening: From Monte Carlo to Experimental Design,https://drive.google.com/open?id=17kGsc7RyeenNWIjCVn71_EBGRbdEGu89,0,roshan joseph,"Tue, Jul 29 14:00–15:00",P4,"Plenary Talk by Roshan Joseph, Georgia Institute of Technology, Sensitivity and Screening: From Monte Carlo to Experimental Design",P4
Nicolas,Chopin,"ENSAE, Institut Polytechnique de Paris",Saddlepoint Monte Carlo and its application to exact ecological inference,https://drive.google.com/open?id=1TfEfDS9RZXlW1R10ublVoyGaqW-IIwEB,0,nicolas chopin,"Thu, Jul 31 14:00–15:00",P7,"Plenary Talk by Nicolas Chopin, Institut Polytechnique de Paris, Saddlepoint Monte Carlo and its application to exact ecological inference",P7
Uros,Seljak,UC Berkeley,Gradient-Based MCMC Sampling: Methods and Optimization Strategies,https://drive.google.com/open?id=17sWEeiq5c7nbdSMXlGF-x-5zmS4wMMkl,0,uros seljak,"Thu, Jul 31 09:00–10:00",P6,"Plenary Talk by Uros Seljak, UC Berkeley, Gradient-Based MCMC Sampling: Methods and Optimization Strategies",P6
Veronika,Ročková,University of Chicago,AI-Powered Bayesian Inference,https://drive.google.com/open?id=1j3TW5nvPEGjNo2hk3njWdvtlrDaX3UIQ,0,veronika ročková,,,,
