SessionTime,SessionTitle,Room,Chair,join_key
"Wed, Jul 30 08:30–16:30",Registration Desk Open,,,
"Wed, Jul 30 09:00–10:00","Plenary Talk by Michaela Szölgyenyi, U of Klagenfurt, An optimal transport approach to quantifying model uncertainty of SDEs",HH Auditorium,Gunther Leobacher,michaela szölgyenyi
"Wed, Jul 30 10:00–10:30",Coffee Break,HH Lobby,,
"Wed, Jul 30 10:30–12:30","Track A: Stochastic Computation and Complexity, Part V",HH Auditorium,,stochastic computation and complexity part v
"Wed, Jul 30 10:30–12:30",Track B: Statistical Design of Experiments,HH Ballroom,,statistical design of experiments
"Wed, Jul 30 10:30–12:30",Track C: Advances in Adaptive Hamiltonian Monte Carlo,PH Auditorium,,advances in adaptive hamiltonian monte carlo
"Wed, Jul 30 10:30–12:30",Track D: Technical Session 15 - Simulation,WH Auditorium,,technical session 15
"Wed, Jul 30 10:30-12:30",Track E: Technical Session 6 - Sampling,HH Alumni Lounge,,technical session 6
"Wed, Jul 30 12:30–14:00",Lunch Break,,,
"Wed, Jul 30 14:00–16:00",Track F: Stochastic Optimization,HH Auditorium,,stochastic optimization
"Wed, Jul 30 14:00–16:00",Track G: Recent Progress on Algorithmic Discrepancy Theory and Applications,HH Ballroom,,recent progress on algorithmic discrepancy theory and applications
"Wed, Jul 30 14:00–16:00","Track H: Monte Carlo Applications in High-performance Computing, Computer Graphics, and Computational Science",PH Auditorium,,monte carlo applications in high performance computing computer graphics and computational science
"Wed, Jul 30 14:00–16:00",Track I: Technical Session 16 - Statistics,WH Auditorium,,technical session 16
"Wed, Jul 30 14:00–16:00",Track J: Technical Session 10 - Langevin,HH Alumni Lounge,,technical session 10
"Wed, Jul 30 16:00-16:30",Coffee Break,HH Lobby,,
"Wed, Jul 30 18:00-20:30",Conference Dinner,Bridgeport Arts Center,,
