First or given name(s) of presenter,Last or family name of presenter,Talk Title,IsSpecialSession,join_key
Michaela,Szölgyenyi,An optimal transport approach to quantifying model uncertainty of SDEs,0,michaela szölgyenyi
Christiane,Lemieux,Golden ratio nets and sequences,0,christiane lemieux
Peter,Glynn,Combining Simulation and Linear Algebra: COSIMLA,0,peter glynn
Roshan,Joseph,Sensitivity and Screening: From Monte Carlo to Experimental Design,0,roshan joseph
Nicolas,Chopin,Saddlepoint Monte Carlo and its application to exact ecological inference,0,nicolas chopin
